objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4,ra,dec,neighbor_id,angular_sep,num_neighbors
1237679322323747035,8.148235E+18,1.576573,21.10573,20.8851,20.72054,20.46921,20.52953,17.744,16.436,12.603,9.11,,,,,,,True,8,0.22063,0.38519,0.63652,0.5762,0.16456,0.41589,0.35557,0.25133,0.19101,-0.06032,1.308,5.141,8.634,3.833,7.326,3.493,33.3182096184575,-5.17521925374233,[],[],0
1237679322323747049,8.148235E+18,2.283614,21.31968,20.02083,20.04521,19.95116,19.70398,16.941,15.885,12.505,8.813,,,,,,,True,8,1.29885,1.27447,1.36852,1.6157,-0.02438,0.06967,0.31685,0.09405,0.34123,0.24718,1.056,4.436,8.128,3.38,7.072,3.692,33.3400191938009,-5.14075074900755,[],[],0
1237679322323747053,8.148236E+18,2.041072,21.51491,21.52923,21.32657,21.19164,20.719,,,,,,,,,,,True,8,-0.01432,0.18834,0.32327,0.79591,0.20266,0.33759,0.81023,0.13493,0.60757,0.47264,,,,,,,33.3478423745382,-5.06388674258473,[],[],0
1237679322323747306,8.148235E+18,0.4430044,21.78331,20.82588,19.8583,19.46175,19.19626,14.77,13.849,11.196,8.768,,,,,,,True,8,0.95743,1.92501,2.32156,2.58705,0.96758,1.36413,1.62962,0.39655,0.66204,0.26549,0.921,3.574,6.002,2.653,5.081,2.428,33.3722577051562,-5.19417130247048,[1237679322323747058],[16.000148116929523],1
1237679322323747621,8.148235E+18,0.5302354,24.52767,22.87029,21.4066,20.57761,19.97472,16.527,15.806,12.862,9.42,1.0160266568032246,-0.2366297720400774,-0.3943337218151461,-1.0589766385652368,0.3745623910719275,-inf,True,8,1.65738,3.12107,3.95006,4.55295,1.46369,2.29268,2.89557,0.82899,1.43188,0.60289,0.721,3.665,7.107,2.944,6.386,3.442,33.3781912745077,-5.09113366427418,[],[],0
1237679322323943687,8.148202E+18,0.5292338,22.62524,21.59002,20.59624,19.8948,19.86157,16.185,16.348,13.052,8.959,,,,,,,True,8,1.03522,2.029,2.73044,2.76367,0.99378,1.69522,1.72845,0.70144,0.73467,0.03323,-0.163,3.133,7.226,3.296,7.389,4.093,33.7624625201085,-5.19487126701289,[],[],0
1237679322323943746,8.148201E+18,0.4356068,26.31905,21.27301,19.53712,18.78556,18.38358,15.145,14.979,13.136,9.268,inf,-0.67361488144524,-0.9465847138180702,-inf,inf,,True,8,5.04604,6.78193,7.53349,7.93547,1.73589,2.48745,2.88943,0.75156,1.15354,0.40198,0.166,2.009,5.877,1.843,5.711,3.868,33.7942775792027,-5.20559073526552,[],[],0
1237679322324009211,8.14819E+18,0.09832753,18.69152,17.02287,16.21623,15.77345,15.46033,13.785,13.517,11.11,8.654,0.566994092187725,0.1012010259806412,-0.2327076869886599,-0.9016350770582456,0.3582869438568993,-0.6958965786499386,True,8,1.66865,2.47529,2.91807,3.23119,0.80664,1.24942,1.56254,0.44278,0.7559,0.31312,0.268,2.675,5.131,2.407,4.863,2.456,33.9329389813527,-5.12120057991824,[],[],0
1237679322324009246,8.148192E+18,2.095061,21.77426,21.43951,21.61813,21.27858,21.05615,,,,,,,,,,,True,8,0.33475,0.15613,0.49568,0.71811,-0.17862,0.16093,0.38336,0.33955,0.56198,0.22243,,,,,,,33.9850273787787,-5.12048056416708,[],[],0
1237679322324009301,8.148191E+18,2.048564,20.96568,20.4982,19.97784,19.65434,19.33418,16.202,14.936,11.714,9.08,,,,,,,True,8,0.46748,0.98784,1.31134,1.6315,0.52036,0.84386,1.16402,0.3235,0.64366,0.32016,1.266,4.488,7.122,3.222,5.856,2.634,33.9604118413303,-5.05971749227975,[],[],0
